Samples,Study,Similarity,Signature Subs-01,Signature Subs-02,Signature Subs-03,Signature Subs-04,Signature Subs-05,Signature Subs-08,Signature Subs-12,Signature Subs-13,Signature Subs-17a,Signature Subs-17b,Signature Subs-18,Signature Subs-33,Signature Subs-40,Signature Subs-42
NSLC-0167-T08,EAGLE - NCI,0.7,506,0,0,0,1285,0,0,0,0,0,0,0,1167,0
NSLC-0167-T09,EAGLE - NCI,0.9199999999999999,604,0,0,0,1420,0,0,0,0,0,0,0,1277,0
NSLC-0167-T10,EAGLE - NCI,0.87,623,0,0,0,1393,0,0,0,0,0,0,0,1316,0
NSLC-0167-T11,EAGLE - NCI,0.8899999999999999,699,0,0,0,1484,0,0,0,0,0,0,0,1365,0
NSLC-0168-T01,EAGLE - NCI,0.73,1042,0,0,0,914,0,0,0,443,1307,1488,0,5872,0
NSLC-0169-T01,EAGLE - NCI,0.76,62,0,0,0,1998,738,0,0,0,0,0,0,0,0
NSLC-0170-T01,EAGLE - NCI,0.9099999999999999,450,0,0,0,5669,3724,0,549,59,365,0,0,0,0
NSLC-0171-T01,EAGLE - NCI,0.72,403,99,0,0,721,0,0,0,0,0,0,0,1697,0
NSLC-0172-T01,Moffitt,0.83,76,126,0,0,1916,1024,0,0,0,0,0,0,0,0
NSLC-0173-T01,Nice,0.85,906,0,0,0,691,0,0,385,0,0,0,0,8725,0
NSLC-0174-T01,Nice,0.98,191,0,0,0,1003,0,0,0,0,0,0,0,1395,0
NSLC-0175-T01,Nice,0.85,136,0,0,0,579,0,0,0,0,0,0,0,1231,0
NSLC-0176-T01,Nice,0.75,505,0,0,0,1546,0,0,0,0,0,0,0,5847,0
NSLC-0177-T01,Nice,0.77,213,100,0,0,708,0,0,0,0,0,0,0,1287,0
NSLC-0178-T01,Nice,0.95,295,748,0,0,509,0,0,477,0,0,0,0,3227,0
NSLC-0180-T01,Nice,0.72,414,0,0,1905,1593,0,0,0,0,0,0,0,2488,0
NSLC-0181-T01,Nice,0.8799999999999999,396,0,0,0,1345,0,0,0,0,0,0,0,2851,0
NSLC-0182-T01,Nice,0.72,901,251,0,0,1130,0,0,0,0,0,0,0,5351,0
NSLC-0183-T01,Nice,0.8899999999999999,390,0,0,0,1965,0,0,0,0,0,864,0,3196,0
NSLC-0184-T01,Nice,0.99,202,0,0,0,1077,0,0,0,0,0,0,0,2059,0
NSLC-0185-T01,Nice,0.8799999999999999,164,0,0,0,2077,0,0,0,0,0,0,0,0,0
NSLC-0186-T01,Nice,0.73,159,0,0,0,765,0,0,0,0,0,0,0,1433,0
NSLC-0187-T01,Nice,0.71,289,278,0,0,1192,0,0,0,0,0,0,0,2545,0
NSLC-0188-T01,Nice,0.96,275,0,0,0,2962,569,0,0,0,0,0,0,0,0
NSLC-0189-T01,Nice,0.7999999999999999,7,0,0,0,104,0,0,0,0,0,0,0,0,0
NSLC-0190-T01,Nice,0.7799999999999999,93,0,0,0,440,0,0,0,0,0,144,0,0,0
